"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_PBDoor","Door","Door","Dveře","Unter","Дверь","Drzwi","Ajtó","Porta","Puerta","Porte","门","ドア","Porta","门",
"STR_PlankDoorKit0","Plank door kit","Plank door kit","Sada prkenných dveří","Bausatz Dielentür","Комплект двери из досок","Zestaw drzwi deskowych","Deszka ajtó készlet","Kit porte in legno","Kit de puerta de tablón","Kit de porte à lamelles","架通套件","板ドアキット","Kit para portas de tábuas","架通套件",
"STR_PlankDoorKit1","Set of items to build a plank door |T1|","Set of items to build a plank door |T1|","Sada předmětů pro stavbu prkenných dveří |T1|","Bausatz für den Bau einer Brettertür |T1|","Набор предметов для постройки двери из досок |T1|","Zestaw elementów do budowy drzwi z desek |T1|","Tételkészlet egy deszkaajtó építéséhez |T1|","Set di articoli per la costruzione di una porta in legno |T1|","Conjunto de elementos para construir una puerta de tablones |T1|","Ensemble d'éléments pour construire une porte en planches |T1|","制作木板门的一套物品 |T1|","板戸を作るためのアイテム一式 |T1|","Conjunto de artigos para construir uma porta de tábuas |T1|","制作木板门的一套物品 |T1|",
"STR_PBWoodDoorKit0","Wooden door kit","Wooden door kit","Sada dřevěných dveří","Bausatz für Holztüren","Комплект двери из дерева","Zestaw drzwi drewnianych","Fa ajtó készlet","Kit porta in legno","Kit de puerta de madera","Kit de porte en bois","木门套件","木製ドアキット","Kit para portas de madeira","木门套件",
"STR_PBWoodDoorKit1","Set of items to build a wooden door |T2|","Set of items to build a wooden door |T2|","Sada předmětů pro stavbu dřevěných dveří |T2|","Bausatz für eine Holztür |T2|","Набор предметов для постройки двери из дерева |T2|","Zestaw elementów do budowy drewnianych drzwi |T2|","Fából készült ajtó építéséhez szükséges elemek készlete |T2|","Set di articoli per costruire una porta in legno |T2|","Juego de elementos para construir una puerta de madera |T2|","Ensemble d'éléments pour construire une porte en bois |T2|","一套用于制作木门的物品 |T2|","木製ドアを作るためのアイテム一式 |T2|","Conjunto de artigos para construir uma porta de madeira |T2|","一套用于制作木门的物品 |T2|",
"STR_PBMetalDoorKit0","Metal door kit","Metal door kit","Sada kovových dveří","Metalltür-Bausatz","Комплект двери из металла","Zestaw metalowych drzwi","Fém ajtó készlet","Kit porta in metallo","Kit de porta metálica","Kit de porte métallique","金属门套件","金属製ドアキット","Metal door kit","金属门套件",
"STR_PBMetalDoorKit1","Set of items to build a metal door |T3|","Set of items to build a metal door |T3|","Sada předmětů pro stavbu kovových dveří |T3|","Bausatz für eine Metalltür |T3|","Набор предметов для постройки двери из металла |T3|","Zestaw elementów do budowy metalowych drzwi |T3|","Fém ajtó építéséhez szükséges elemek készlete |T3|","Set di articoli per costruire una porta in metallo |T3|","Conjunto de elementos para construir una puerta metálica |T3|","Ensemble d'éléments pour la construction d'une porte métallique |T3|","制作金属门的一套物品 |T3|","金属製ドアを作るためのアイテム一式 |T3|","Conjunto de artigos para construir uma porta metálica |T3|","制作金属门的一套物品 |T3|",
"STR_PBPlankBarricadeKit0","Plank barricade kit","Plank barricade kit","Stavebnice prkenné barikády","Bausatz Plankenbarrikade","Комплект баррикады из досок","Zestaw barykad z desek","Plank barikád készlet","Kit di barricate in tavole","Kit de barricada de tablones","Kit de barricade en planches","板式路障套件","板バリケード・キット","Kit de barricada de pranchas","板式路障套件",
"STR_PBPlankBarricadeKit1","Set of items to build a plank barricade |T1|","Set of items to build a plank barricade |T1|","Sada předmětů pro stavbu prkenné barikády |T1|","Set von Gegenständen zum Bau einer Barrikade aus Brettern |T1|","Набор предметов для постройки баррикады из досок |T1|","Zestaw elementów do budowy barykady z desek |T1|","Deszka barikád építéséhez szükséges elemek készlete |T1|","Set di articoli per la costruzione di una barricata di tavole |T1|","Conjunto de elementos para construir una barricada de tablones |T1|","Ensemble d'éléments pour construire une barricade en planches |T1|","建造木板路障的一套物品 |T1|","板バリケードを作るためのアイテム一式 |T1|","Conjunto de objectos para construir uma barricada de tábuas |T1|","建造木板路障的一套物品 |T1|",
"STR_PBWoodWallKit0","Wooden wall kit","Wooden wall kit","Dřevěná stěnová sada","Bausatz Holzwand","Комплект стены из дерева","Zestaw ścienny z drewna","Fából készült fali készlet","Kit parete in legno","Kit de pared de madera","Kit mural en bois","木制墙面套件","木製ウォールキット","Kit de parede em madeira","木制墙面套件",
